Company,Sector,Industry,Country,Exchange,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Book/sh,P/B,EPS next Y Percentage,ROA,Short Interest,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range From,52W Range To,Perf YTD,Dividend Est.,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend TTM,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR (14),Dividend Ex-Date,Current Ratio,EPS Y/Y TTM,Oper. Margin,RSI (14),Volatility W,Volatility M,Employees,Debt/Eq,Sales Y/Y TTM,Profit Margin,Recom,Target Price,Option/Short,LT Debt/Eq,EPS Q/Q,Payout,Rel Volume,Prev Close,Sales Surprise,EPS Surprise,Sales Q/Q,Earnings,Avg Volume,Price,SMA20,SMA50,SMA200,Trades,Volume,Change,Ticker,Insider Activity
Hilton Worldwide Holdings Inc,Consumer Cyclical,Lodging,USA,NYSE,S&P 500,39.16,6.34,2.18%,238.78M,0.61%,59.01B,27.51,9.02,-1.28%,232.51M,9.65%,1.57B,2.89,2.02,98.13%,2.44%,-4.18%,11.30B,5.22,11.16%,-1.28%,2.30,-1.87%,-18.33,-,14.02%,9.82%,5.68M,22.15%,3.40,73.12,13.57%,-,194.93,275.22,0.45%,0.61 (0.25%),29.21,15.11%,22.53%,-9.80%,1.24,0.60 (0.24%),0.57,11.47%,25.79%,27.36%,6.08,"May 23, 2025",0.57,38.52%,21.03%,56.32,2.12%,1.86%,181000,-,7.43%,13.90%,2.46,248.80,Yes / Yes,-,18.80%,9.77%,0.60,250.78,-0.88%,6.83%,4.74%,Apr 29 BMO,2.47M,248.26,0.34%,7.52%,4.10%,"

","1,501,420",-1.00%,HLT,-0.0128
Enterprise Products Partners L P,Energy,Oil & Gas Midstream,USA,NYSE,-,11.73,2.66,33.59%,2.17B,-1.76%,67.73B,10.37,3.01,0.00%,1.44B,1.43%,5.79B,2.18,0.67,24.72%,1.72%,-4.84%,56.41B,1.20,3.71%,0.25%,4.72,-4.84%,13.33,2.34,7.98%,7.89%,24.72M,10.71%,0.49,63.36,5.38%,20.49%,27.37,34.63,-0.41%,2.20 (7.03%),17.66,5.15%,9.91%,-9.82%,0.65,2.12 (6.79%),0.64,15.05%,12.00%,14.10%,0.59,"Apr 30, 2025",0.86,4.37%,11.58%,47.56,0.56%,1.01%,7800,1.11,9.10%,10.27%,1.90,36.79,Yes / Yes,1.02,-4.23%,78.06%,0.79,31.43,10.12%,-9.23%,4.95%,Apr 29 BMO,5.24M,31.23,-0.16%,-1.12%,-0.21%,"

","4,153,747",-0.64%,EPD,0.0
Northrop Grumman Corp,Industrials,Aerospace & Defense,USA,NYSE,S&P 500,18.87,25.41,0.25%,144.07M,1.16%,69.00B,16.71,28.69,-2.37%,143.56M,-0.56%,3.71B,3.19,6.61,84.25%,1.88%,4.22%,40.37B,1.71,-3.32%,0.28%,2.29,-3.52%,104.00,4.61,13.79%,7.71%,2.70M,2.78%,11.71,40.95,5.91%,25.41%,418.60,555.57,2.15%,7.66 (1.60%),38.85,16.47%,11.97%,-13.71%,0.14,8.24 (1.72%),0.82,4.01%,19.34%,14.52%,10.55,"Jun 02, 2025",0.94,77.28%,9.59%,49.11,0.60%,1.21%,97000,1.11,0.61%,9.19%,2.00,535.43,Yes / Yes,1.07,-47.50%,28.41%,0.73,475.32,-4.57%,-46.82%,-6.56%,Apr 22 BMO,1.18M,479.39,0.33%,-2.71%,-3.21%,"

","864,033",0.86%,NOC,-0.023700000000000002
Tradeweb Markets Inc,Financial,Capital Markets,USA,NASD,-,58.91,2.43,45.72%,116.44M,-1.35%,33.91B,37.40,3.83,-0.06%,115.81M,4.39%,523.31M,4.34,0.85,55.36%,2.33%,9.41%,1.83B,18.56,17.19%,1.50%,2.30,5.46%,27.83,5.15,12.04%,7.09%,2.70M,27.76%,5.53,25.93,13.59%,9.14%,101.03,152.65,9.54%,0.48 (0.34%),38.36,34.23%,8.76%,-6.05%,0.84,0.42 (0.29%),4.81,17.53%,87.23%,41.95%,3.44,"Jun 02, 2025",4.81,29.26%,42.25%,52.88,0.96%,1.52%,1412,0.01,28.86%,28.65%,1.62,153.33,Yes / Yes,0.01,17.49%,17.16%,0.63,144.24,-0.46%,0.51%,24.69%,Apr 30 BMO,1.17M,143.41,-0.29%,2.34%,9.33%,"

","748,631",-0.58%,TW,-0.0006
Microsoft Corporation,Technology,Software - Infrastructure,USA,NASD,"DJIA, NDX, S&P 500",35.45,12.94,1.47%,7.43B,1.35%,3409.16B,30.28,15.15,-0.13%,7.32B,16.40%,96.64B,2.44,3.37,73.61%,0.78%,16.85%,270.01B,12.63,13.46%,-0.46%,2.36,10.00%,43.30,10.59,13.13%,18.46%,57.07M,6.63%,10.71,42.82,14.51%,33.61%,344.79,468.35,8.82%,3.28 (0.72%),49.15,18.45%,23.24%,-2.06%,1.03,2.41 (0.53%),1.36,14.40%,69.07%,33.03%,8.73,"May 15, 2025",1.37,12.10%,45.23%,68.91,1.51%,1.87%,228000,0.33,14.13%,35.79%,1.30,510.11,Yes / Yes,0.29,17.88%,25.42%,0.57,457.36,2.38%,7.38%,13.27%,Apr 30 AMC,24.15M,458.68,2.49%,12.52%,10.06%,"

","13,982,211",0.29%,MSFT,-0.0013
Walmart Inc,Consumer Defensive,Discount Stores,USA,NYSE,"DJIA, S&P 500",41.61,2.33,45.66%,8.00B,0.69%,776.89B,33.22,2.92,-0.92%,4.35B,1.10%,18.82B,4.67,0.72,35.80%,1.17%,0.32%,685.09B,1.13,3.70%,-0.48%,2.26,7.36%,11.34,8.56,12.29%,7.29%,51.03M,48.52%,1.16,83.44,8.91%,22.80%,64.16,105.30,7.47%,0.93 (0.96%),57.50,6.82%,13.54%,-7.79%,0.68,0.89 (0.91%),0.22,5.39%,24.88%,51.34%,2.03,"Aug 15, 2025",0.78,-0.17%,4.33%,54.54,0.73%,0.91%,2100000,0.80,4.22%,2.75%,1.43,109.49,Yes / Yes,0.66,-11.64%,34.51%,0.63,97.24,-0.01%,5.99%,2.54%,May 15 BMO,22.63M,97.10,-0.29%,4.54%,9.45%,"

","14,343,738",-0.14%,WMT,-0.0092
Texas Roadhouse Inc,Consumer Cyclical,Restaurants,USA,NASD,-,30.19,6.49,0.59%,66.40M,4.64%,12.99B,25.77,7.60,-4.77%,65.95M,18.90%,434.05M,3.17,1.90,96.79%,4.94%,10.05%,5.50B,2.36,3.66%,3.51%,2.70,0.45%,20.78,9.42,13.26%,14.42%,3.26M,16.02%,3.33,58.75,9.52%,33.55%,148.73,206.04,8.51%,2.68 (1.37%),32.98,21.34%,19.23%,-4.98%,0.91,2.51 (1.28%),0.41,15.75%,14.05%,31.64%,4.80,"Jun 03, 2025",0.47,31.24%,9.93%,66.95,2.92%,2.08%,95000,0.66,15.09%,7.89%,2.34,188.05,Yes / Yes,0.64,0.99%,37.71%,0.90,196.32,0.54%,-3.24%,9.57%,May 08 AMC,1.21M,195.79,5.83%,12.89%,9.77%,"

","1,084,621",-0.27%,TXRH,-0.04769999999999999
Palo Alto Networks Inc,Technology,Software - Infrastructure,USA,NASD,"NDX, S&P 500",106.33,1.75,0.98%,665.90M,2.52%,123.90B,50.42,3.69,-41.07%,660.28M,-0.44%,1.24B,7.51,0.88,78.75%,3.94%,-0.90%,8.87B,13.96,15.46%,0.22%,4.77,-3.06%,10.86,17.11,12.58%,6.20%,26.02M,15.56%,4.97,37.41,14.16%,21.16%,142.01,208.39,2.12%,-,41.29,-,16.34%,-10.83%,0.96,-,0.85,22.69%,73.56%,30.85%,5.42,-,0.85,-50.96%,11.65%,50.39,0.68%,1.98%,15289,0.10,13.91%,13.95%,1.77,212.59,Yes / Yes,0.05,-5.75%,0.00%,0.82,187.80,0.43%,3.67%,15.33%,May 20 AMC,5.46M,185.82,-1.70%,3.54%,1.66%,"

","4,499,556",-1.05%,PANW,-0.4107
GSK Plc ADR,Healthcare,Drug Manufacturers - General,United Kingdom,NYSE,-,20.77,1.93,0.00%,2.04B,3.79%,81.04B,8.29,4.83,-,2.03B,2.64%,3.98B,2.32,1.15,18.13%,0.83%,7.24%,40.23B,2.01,8.38%,-4.50%,3.07,17.79%,8.95,4.47,11.69%,5.23%,16.76M,-11.35%,2.86,14.00,8.94%,22.26%,31.72,45.01,18.27%,1.74 (4.35%),12.79,-11.63%,10.07%,-11.13%,0.51,1.61 (4.02%),0.58,-0.74%,71.84%,26.12%,0.80,"May 16, 2025",0.87,-29.96%,18.02%,64.16,1.56%,1.79%,68629,1.30,4.17%,9.89%,2.83,43.91,Yes / Yes,1.16,53.31%,94.89%,0.92,39.18,3.33%,14.83%,1.38%,Apr 30 BMO,5.47M,40.00,5.11%,6.52%,6.53%,"

","5,048,296",2.09%,GSK,
Franco-Nevada Corporation,Basic Materials,Gold,Canada,NYSE,-,52.51,3.20,0.73%,192.65M,1.58%,32.42B,33.32,5.05,0.00%,191.25M,-0.38%,617.40M,2.90,1.07,78.04%,1.47%,19.19%,1.22B,26.47,39.86%,-7.90%,2.81,36.06%,32.66,5.15,12.49%,9.71%,2.81M,37.93%,5.86,28.74,18.13%,10.19%,112.70,178.74,43.12%,1.52 (0.90%),199.98,9.38%,9.80%,-5.85%,0.43,1.46 (0.87%),22.89,6.71%,69.84%,49.33%,4.24,"Jun 12, 2025",22.90,228.94%,66.53%,56.41,1.12%,2.27%,41,0.00,2.11%,50.41%,2.22,183.17,Yes / Yes,0.00,44.82%,50.24%,0.34,168.50,8.88%,7.41%,43.64%,May 08 AMC,999.52K,168.29,2.16%,3.53%,23.03%,"

","345,210",-0.12%,FNV,0.0
"Broadridge Financial Solutions, Inc",Technology,Information Technology Services,USA,NYSE,S&P 500,36.03,6.65,0.57%,117.20M,0.26%,28.16B,25.92,9.25,-20.91%,116.79M,0.02%,788.50M,3.81,3.49,91.63%,1.15%,0.97%,6.77B,4.16,9.82%,0.90%,2.29,4.12%,20.33,11.79,8.93%,9.55%,1.34M,19.54%,2.71,88.60,9.45%,33.92%,192.68,247.01,6.03%,3.45 (1.44%),24.56,7.63%,13.17%,-2.95%,0.96,3.44 (1.44%),1.32,7.86%,30.57%,24.41%,4.29,"Jun 12, 2025",1.32,13.40%,17.75%,53.79,0.76%,1.62%,14600,1.53,5.73%,11.65%,2.36,250.43,Yes / Yes,1.51,14.62%,54.59%,0.77,240.25,-2.82%,1.19%,4.93%,May 01 BMO,587.72K,239.72,0.96%,1.54%,5.37%,"

","453,314",-0.22%,BR,-0.2091
W.W. Grainger Inc,Industrials,Industrial Distribution,USA,NYSE,S&P 500,27.72,39.16,6.11%,48.07M,0.40%,52.16B,24.30,44.67,-0.09%,45.11M,7.21%,1.91B,3.43,10.07,73.49%,2.85%,7.40%,17.24B,3.03,3.96%,-0.91%,4.70,-10.02%,72.39,15.00,10.30%,22.39%,1.29M,12.35%,13.86,78.32,8.08%,57.19%,874.98,1227.66,3.01%,8.80 (0.81%),33.67,20.30%,31.42%,-11.56%,1.21,8.41 (0.77%),1.60,8.49%,39.45%,24.09%,19.14,"May 12, 2025",2.74,7.23%,15.31%,60.38,1.13%,1.30%,26000,0.77,3.71%,11.08%,2.95,1108.17,Yes / Yes,0.75,2.49%,20.56%,0.55,1081.06,-0.26%,3.96%,1.68%,May 01 BMO,273.30K,1085.74,1.35%,6.46%,2.97%,"

","150,348",0.43%,GWW,-0.0009
Etsy Inc,Consumer Cyclical,Internet Retail,USA,NASD,-,37.64,1.41,1.24%,105.13M,13.98%,5.53B,18.99,2.79,-6.20%,102.99M,14.87%,188.18M,3.69,0.48,117.95%,22.37%,3.52%,2.81B,1.96,-32.34%,-3.41%,4.88,1.32%,-8.66,-,75.47%,8.15%,23.04M,-12.59%,8.32,6.37,10.20%,-,40.05,66.93,0.19%,-,8.07,25.24%,12.79%,-20.83%,1.78,-,2.14,33.06%,72.50%,32.31%,1.95,-,2.14,-32.87%,14.87%,72.96,2.74%,2.22%,2420,-,2.18%,6.69%,2.68,48.70,Yes / Yes,-,-201.95%,0.00%,1.80,51.45,1.50%,-204.48%,0.81%,Apr 30 BMO,4.73M,52.99,12.24%,14.97%,3.14%,"

","8,409,846",2.99%,ETSY,-0.062
ITT Inc,Industrials,Specialty Industrial Machinery,USA,NYSE,-,24.03,6.28,0.76%,81.00M,1.33%,11.89B,21.10,7.16,0.00%,78.10M,10.34%,515.70M,2.52,1.61,96.61%,1.87%,7.39%,3.63B,3.27,9.22%,-1.84%,2.17,-4.63%,34.31,4.40,11.83%,11.17%,1.46M,9.79%,5.59,27.03,9.55%,19.27%,105.64,161.13,5.71%,1.36 (0.90%),24.50,11.41%,18.07%,-6.26%,1.36,1.31 (0.87%),0.80,5.43%,34.76%,42.98%,3.60,"Jun 02, 2025",1.19,23.25%,17.12%,62.95,1.79%,1.56%,11700,0.30,6.99%,14.19%,1.73,172.60,Yes / Yes,0.03,-1.15%,20.26%,0.45,150.91,0.49%,0.82%,0.26%,May 01 BMO,673.49K,151.04,2.39%,10.32%,5.70%,"

","305,988",0.09%,ITT,0.0
NXP Semiconductors NV,Technology,Semiconductors,Netherlands,NASD,"NDX, S&P 500",21.34,9.18,0.15%,253.15M,-4.61%,49.49B,14.24,13.76,-0.26%,252.26M,7.27%,2.36B,2.63,2.68,93.56%,2.94%,-9.67%,12.32B,4.02,-11.23%,-2.15%,2.18,-13.47%,36.82,5.32,18.40%,9.74%,7.41M,-29.32%,15.79,12.41,8.11%,26.02%,148.09,296.08,-5.75%,4.33 (2.21%),27.08,62.74%,12.08%,-33.84%,1.41,4.06 (2.07%),1.47,8.08%,55.16%,32.28%,7.79,"Mar 19, 2025",2.08,-15.29%,27.65%,49.55,2.50%,2.68%,33100,1.26,-7.21%,19.16%,1.53,231.03,Yes / Yes,1.10,-22.13%,41.24%,0.54,196.21,0.14%,1.34%,-9.31%,Apr 28 AMC,3.40M,195.89,-1.17%,3.15%,-9.86%,"

","1,851,499",-0.16%,NXPI,-0.0026
ASML Holding NV,Technology,Semiconductor Equipment & Materials,Netherlands,NASD,NDX,31.49,23.73,0.06%,393.28M,1.34%,293.81B,24.64,30.32,0.00%,393.06M,12.15%,9.33B,1.39,6.03,17.37%,0.73%,7.08%,32.95B,8.92,33.06%,-8.79%,1.75,11.02%,48.07,15.54,13.61%,20.44%,2.87M,-21.87%,25.00,29.88,22.58%,55.21%,578.51,1110.09,7.79%,8.17 (1.09%),29.02,24.74%,40.78%,-32.70%,1.74,6.95 (0.93%),0.91,19.23%,52.00%,29.14%,18.89,"Apr 28, 2025",1.52,21.29%,33.74%,58.82,2.13%,2.02%,44027,0.21,16.46%,28.32%,1.69,857.06,Yes / Yes,0.21,87.17%,28.35%,0.71,746.51,5.87%,10.87%,41.91%,Apr 16 BMO,1.64M,747.07,2.46%,7.80%,1.29%,"

","1,166,416",0.07%,ASML,0.0
Keysight Technologies Inc,Technology,Scientific & Technical Instruments,USA,NYSE,S&P 500,37.22,4.26,0.81%,172.10M,-2.35%,27.31B,20.11,7.89,-7.34%,170.70M,9.76%,742.00M,3.00,1.67,90.95%,1.38%,0.28%,5.11B,5.35,11.82%,-2.10%,2.25,-6.82%,31.82,4.99,12.54%,7.60%,2.35M,10.14%,18.12,8.76,12.41%,14.30%,119.72,186.20,-1.23%,-,20.29,1.53%,9.05%,-14.79%,1.10,-,2.74,3.36%,66.31%,32.53%,4.41,-,3.37,-7.04%,12.71%,55.79,1.58%,1.67%,15500,0.50,-1.16%,14.53%,1.73,188.27,Yes / Yes,0.50,106.94%,0.00%,0.93,158.54,1.87%,3.28%,7.40%,May 20 AMC,1.05M,158.66,0.56%,6.47%,0.87%,"

","973,731",0.08%,KEYS,-0.07339999999999999
PepsiCo Inc,Consumer Defensive,Beverages - Non-Alcoholic,USA,NASD,"NDX, S&P 500",19.40,6.80,0.35%,1.37B,1.36%,180.87B,15.77,8.36,-2.39%,1.37B,-1.78%,9.37B,6.76,2.03,76.12%,1.52%,-13.22%,91.52B,1.98,-3.29%,-0.56%,2.54,-18.57%,13.39,9.85,5.98%,9.29%,20.82M,-25.88%,6.26,21.08,2.87%,50.06%,127.75,180.91,-13.24%,5.60 (4.24%),24.89,5.98%,16.21%,-27.08%,0.47,5.42 (4.11%),0.65,6.54%,54.97%,3.26%,2.34,"Jun 06, 2025",0.83,2.23%,15.44%,45.06,1.08%,1.06%,319000,2.64,-0.38%,10.24%,2.61,147.39,Yes / Yes,2.14,-9.93%,76.68%,0.81,130.67,0.91%,-0.51%,-1.81%,Apr 24 BMO,8.21M,131.92,0.51%,-4.98%,-15.25%,"

","6,659,069",0.96%,PEP,-0.0239
Sap SE ADR,Technology,Software - Application,Germany,NYSE,-,57.00,5.21,0.01%,1.17B,-0.50%,346.40B,36.17,8.21,0.00%,1.17B,1.50%,6.14B,2.06,1.65,6.28%,0.12%,8.13%,37.72B,9.18,47.45%,1.48%,0.95,25.68%,42.33,7.02,17.88%,7.66%,1.46M,51.98%,12.02,24.70,27.69%,12.81%,179.43,304.43,20.60%,2.68 (0.90%),61.28,-1.42%,10.85%,-2.46%,1.32,2.54 (0.86%),1.17,3.85%,73.60%,65.48%,5.98,"May 13, 2025",1.17,201.10%,26.10%,57.18,1.80%,1.47%,109121,0.22,9.39%,16.29%,1.40,337.64,Yes / Yes,0.15,306.69%,65.77%,0.71,298.07,2.35%,11.69%,8.69%,Apr 22 AMC,1.54M,296.93,0.20%,6.67%,17.07%,"

","1,103,313",-0.38%,SAP,0.0
"C.H. Robinson Worldwide, Inc",Industrials,Integrated Freight & Logistics,USA,NASD,S&P 500,22.96,4.19,0.98%,118.96M,-1.11%,11.41B,17.57,5.47,-4.82%,117.57M,8.80%,508.09M,2.67,1.16,96.69%,5.13%,-3.16%,17.36B,0.66,4.20%,0.85%,4.03,-10.70%,14.58,6.59,16.37%,9.50%,6.03M,10.82%,1.09,87.81,8.59%,32.11%,82.16,114.82,-6.99%,2.51 (2.61%),18.07,-1.63%,17.37%,-16.30%,0.91,2.47 (2.57%),1.29,5.46%,7.90%,16.97%,2.28,"Jun 06, 2025",1.29,65.52%,4.26%,52.99,1.49%,2.16%,13781,1.00,-0.22%,2.93%,2.22,110.64,Yes / Yes,0.69,42.84%,63.75%,0.66,95.58,-4.87%,11.16%,-8.29%,Apr 30 AMC,1.50M,96.10,1.51%,1.72%,-5.57%,"

","993,634",0.54%,CHRW,-0.0482
"Cisco Systems, Inc",Technology,Communication Equipment,USA,NASD,"DJIA, NDX, S&P 500",25.84,2.44,0.26%,3.96B,-0.24%,249.68B,15.70,4.02,-1.34%,3.95B,9.96%,9.79B,4.98,0.98,78.51%,1.46%,-1.19%,55.62B,4.49,1.57%,0.57%,2.46,7.69%,11.60,5.44,6.01%,8.07%,57.51M,35.83%,4.33,14.56,5.19%,21.36%,44.50,66.50,6.50%,1.62 (2.56%),19.50,-0.54%,14.01%,-5.19%,0.88,1.61 (2.55%),0.83,0.90%,63.56%,41.69%,1.25,"Jul 03, 2025",0.91,-17.77%,21.76%,61.22,0.76%,1.41%,90400,0.67,0.47%,17.60%,2.04,70.76,Yes / Yes,0.52,33.99%,62.19%,0.59,63.34,0.72%,4.68%,11.39%,May 14 AMC,23.33M,63.05,2.12%,5.94%,9.38%,"

","13,984,561",-0.46%,CSCO,-0.0134
Polaris Inc,Consumer Cyclical,Recreational Vehicles,USA,NYSE,-,56.11,0.71,6.63%,56.20M,3.23%,2.24B,303.21,0.13,0.00%,52.47M,17.91%,40.20M,-,0.03,95.88%,16.37%,-11.06%,6.97B,0.32,-136.47%,8.87%,4.75,-41.30%,21.82,1.83,111.10%,0.73%,8.59M,-51.58%,5.19,7.69,-14.12%,3.09%,30.92,88.00,-30.77%,2.65 (6.65%),7.48,-17.81%,1.37%,-54.67%,1.05,2.65 (6.64%),0.37,1.85%,18.83%,29.01%,1.97,"Jun 02, 2025",1.12,-89.55%,2.03%,58.97,3.12%,2.83%,15000,1.78,-17.86%,0.58%,2.89,33.73,Yes / Yes,1.40,-1868.07%,135.34%,0.79,39.80,-0.18%,1.43%,-11.55%,Apr 29 BMO,1.81M,39.89,6.18%,6.99%,-31.75%,"

","1,429,985",0.23%,PII,0.0
Toronto Dominion Bank,Financial,Banks - Diversified,Canada,NYSE,-,10.05,6.84,0.20%,1.75B,6.11%,120.41B,11.09,6.20,0.00%,1.75B,8.65%,11.93B,1.71,1.46,53.36%,3.13%,14.97%,91.86B,1.31,3.33%,4.43%,26.72,22.40%,48.31,1.42,7.81%,0.84%,54.64M,21.53%,-,-,5.89%,14.27%,51.25,68.74,29.11%,3.03 (4.41%),6.81,-5.91%,8.70%,0.00%,0.82,2.24 (3.25%),-,17.03%,-,34.13%,0.96,"Jul 10, 2025",0.60,55.09%,15.45%,80.21,0.57%,0.98%,-,2.07,9.56%,12.99%,1.83,68.86,Yes / Yes,0.50,345.41%,86.29%,0.80,68.11,2.48%,10.98%,18.45%,May 22 BMO,2.05M,68.74,5.87%,10.86%,16.80%,"

","1,640,672",0.92%,TD,0.0
ExlService Holdings Inc,Technology,Information Technology Services,USA,NASD,RUT,34.74,1.32,3.82%,162.68M,0.15%,7.48B,21.54,2.14,-1.52%,156.47M,2.25%,216.09M,2.54,0.45,96.93%,5.29%,-5.04%,1.90B,3.93,13.66%,-0.31%,6.00,-0.48%,6.22,7.39,13.86%,13.87%,8.27M,48.50%,2.10,21.93,13.67%,23.81%,28.59,52.43,3.63%,-,30.45,25.37%,15.71%,-12.28%,0.83,-,3.39,13.56%,34.89%,60.86%,1.13,-,3.39,21.49%,14.68%,50.05,1.32%,1.59%,59500,0.38,14.18%,11.36%,1.55,54.29,Yes / Yes,0.36,38.29%,0.00%,0.92,46.16,2.18%,8.77%,14.78%,Apr 29 AMC,1.38M,45.99,-0.43%,0.47%,4.69%,"

","1,271,411",-0.37%,EXLS,-0.0152
Oracle Corp,Technology,Software - Infrastructure,USA,NYSE,S&P 500,38.27,4.26,41.24%,2.80B,3.64%,456.81B,24.48,6.65,-0.33%,1.65B,15.70%,12.16B,2.85,1.64,44.50%,1.48%,-1.13%,55.78B,8.19,7.43%,-0.34%,2.37,-15.28%,5.97,27.29,11.40%,8.15%,24.41M,32.54%,6.36,25.63,13.44%,108.79%,114.55,198.31,-2.24%,1.62 (1.00%),78.60,4.54%,11.60%,-17.86%,1.32,1.70 (1.04%),1.02,6.21%,66.63%,42.21%,4.37,"Apr 10, 2025",1.02,17.53%,31.80%,64.29,2.11%,1.96%,159000,5.75,6.23%,21.80%,1.85,177.10,Yes / Yes,5.27,19.95%,43.15%,0.67,163.85,-1.71%,-1.49%,6.40%,Mar 10 AMC,10.30M,162.90,4.27%,11.86%,0.77%,"

","6,995,831",-0.58%,ORCL,-0.0033
Texas Instruments Inc,Technology,Semiconductors,USA,NASD,"NDX, S&P 500",35.05,5.28,0.17%,909.00M,-0.23%,168.06B,27.75,6.67,-24.62%,906.95M,15.07%,4.85B,2.40,1.34,87.65%,2.50%,-3.30%,16.05B,10.47,6.33%,-0.83%,2.75,-6.57%,18.05,10.25,20.55%,14.13%,22.72M,-7.12%,5.51,33.58,14.61%,29.04%,139.95,220.38,-1.34%,5.48 (2.96%),115.50,-0.16%,16.57%,-16.06%,1.00,5.38 (2.91%),3.37,2.67%,58.02%,32.18%,5.60,"Apr 30, 2025",5.26,-17.82%,34.29%,59.99,2.48%,2.62%,34000,0.78,-4.48%,30.21%,2.59,177.52,Yes / Yes,0.78,6.75%,101.23%,0.55,184.15,4.12%,19.45%,11.14%,Apr 23 AMC,8.25M,184.99,3.94%,8.98%,-2.63%,"

","4,534,852",0.46%,TXN,-0.2462
Applied Materials Inc,Technology,Semiconductor Equipment & Materials,USA,NASD,"NDX, S&P 500",19.41,8.22,0.27%,802.50M,-1.70%,127.98B,15.80,10.09,2.33%,800.37M,6.64%,6.76B,2.25,2.35,80.70%,2.20%,1.81%,28.08B,4.56,9.88%,-3.08%,2.22,-8.81%,23.63,6.75,6.20%,20.61%,17.60M,-27.80%,8.41,18.97,8.64%,36.37%,123.74,255.89,-1.94%,1.71 (1.07%),21.84,24.62%,27.30%,-37.68%,1.67,1.66 (1.04%),1.76,13.78%,48.14%,28.89%,5.45,"May 22, 2025",2.46,-5.66%,29.67%,51.10,2.05%,2.67%,35700,0.35,6.12%,24.07%,1.78,198.66,Yes / Yes,0.31,27.77%,17.66%,0.86,161.59,-0.40%,3.28%,6.98%,May 15 AMC,7.92M,159.48,-1.23%,5.28%,-8.12%,"

","6,846,250",-1.31%,AMAT,0.0233
Booking Holdings Inc,Consumer Cyclical,Travel Services,USA,NASD,"NDX, S&P 500",34.23,160.73,0.22%,32.70M,3.94%,179.04B,22.22,247.57,-1.80%,32.47M,12.07%,5.44B,2.17,49.81,93.66%,1.82%,11.87%,24.09B,7.43,15.13%,-1.34%,2.15,6.27%,-186.92,-,14.93%,19.81%,0.59M,44.97%,478.73,11.49,15.77%,-,3180.00,5505.00,10.74%,38.32 (0.70%),21.11,9.08%,55.88%,-0.05%,1.41,35.85 (0.65%),1.22,19.69%,97.01%,73.02%,116.73,"Jun 06, 2025",1.22,20.70%,32.77%,71.13,1.02%,1.15%,24300,-,9.47%,22.58%,1.70,5553.34,Yes / Yes,-,-55.00%,20.27%,0.70,5475.26,3.61%,43.11%,7.86%,Apr 29 AMC,275.10K,5502.00,4.40%,12.62%,18.03%,"

","193,731",0.49%,BKNG,-0.018000000000000002
Danaher Corp,Healthcare,Diagnostics & Research,USA,NYSE,S&P 500,36.93,5.16,8.93%,715.60M,1.96%,136.31B,22.22,8.57,-1.95%,651.77M,-4.25%,3.77B,4.48,1.64,81.69%,1.14%,-7.41%,23.82B,5.72,2.90%,-0.33%,1.77,-19.24%,71.06,2.68,11.34%,4.63%,7.45M,-27.52%,2.78,68.40,8.24%,7.22%,171.00,281.70,-17.02%,1.22 (0.64%),27.81,9.03%,5.63%,-32.39%,0.78,1.13 (0.59%),1.05,7.33%,59.80%,11.39%,6.11,"Jun 27, 2025",1.43,-12.75%,21.67%,47.57,1.70%,2.69%,63000,0.35,-9.19%,15.81%,1.30,244.65,Yes / Yes,0.31,-8.94%,20.42%,0.67,189.01,3.04%,15.52%,-0.95%,Apr 22 BMO,4.20M,190.47,-1.18%,-2.49%,-17.51%,"

","2,814,483",0.77%,DHR,-0.0195
Mastercard Incorporated,Financial,Credit Services,USA,NYSE,S&P 500,40.53,14.26,9.66%,903.00M,1.45%,524.65B,31.04,18.61,-0.12%,820.29M,7.06%,13.14B,2.86,4.03,80.85%,0.73%,2.29%,29.05B,18.06,9.18%,-1.01%,2.09,10.93%,7.33,78.82,16.76%,28.86%,6.02M,28.06%,9.25,62.45,14.17%,188.92%,428.86,588.45,9.73%,3.03 (0.52%),35.04,11.82%,51.60%,-1.81%,1.04,2.84 (0.49%),1.11,11.37%,96.71%,34.72%,10.05,"Apr 09, 2025",1.11,13.22%,57.69%,60.63,1.26%,1.08%,35300,2.82,12.94%,45.24%,1.73,625.91,Yes / Yes,2.82,11.44%,19.73%,0.46,575.92,2.38%,4.27%,14.08%,May 01 BMO,2.88M,577.78,1.18%,6.06%,10.08%,"

","1,347,855",0.32%,MA,-0.0012
